Age,Hours_Worked_Per_Week,Mental_Health_Condition,gender,industry,Location,sleep_Quality,stress_Level,access_to_Mental_Health_Resource,physical_Activity,region
22-32,28,fit,Female,Finance,Remote,Good,Low,No,Daily,North America
>42,39,ill,Other,Consulting,Onsite,Average,Medium,No,Weekly,North America
>42,29,ill,Other,Consulting,Remote,Average,Medium,Yes,Weekly,Oceania
22-32,30,ill,Other,Retail,Onsite,Good,High,Yes,Weekly,Africa
22-32,53,ill,Other,IT,Hybrid,Poor,High,Yes,Not At All,Africa
32-42,57,ill,Other,Consulting,Onsite,Poor,Medium,No,Weekly,Africa
>42,49,ill,Male,Retail,Onsite,Good,High,Yes,Not At All,Asia
22-32,55,ill,Other,Consulting,Onsite,Good,High,No,Weekly,Europe
22-32,37,ill,Female,Healthcare,Remote,Average,Medium,Yes,Daily,South America
22-32,51,ill,Male,Manufacturing,Remote,Average,High,Yes,Daily,South America
22-32,21,ill,Male,Consulting,Hybrid,Average,Low,No,Weekly,Asia
>42,21,ill,Female,Education,Hybrid,Poor,High,No,Not At All,Asia
>42,44,ill,Other,Finance,Onsite,Poor,High,Yes,Daily,South America
>42,26,ill,Other,Education,Hybrid,Good,High,Yes,Weekly,North America
22-32,43,ill,Female,Healthcare,Hybrid,Poor,High,Yes,Not At All,Europe
>42,42,fit,Male,Retail,Hybrid,Good,Low,Yes,Not At All,Oceania
>42,44,ill,Male,Finance,Hybrid,Poor,Low,No,Daily,Asia
>42,27,ill,Other,Manufacturing,Onsite,Poor,Low,No,Weekly,North America
22-32,43,fit,Other,Education,Hybrid,Poor,Medium,Yes,Weekly,Africa
22-32,38,ill,Female,Consulting,Remote,Poor,High,Yes,Not At All,North America
>42,38,ill,Other,Healthcare,Hybrid,Poor,Low,Yes,Daily,Oceania
>42,57,ill,Female,Retail,Onsite,Average,Medium,No,Weekly,Africa
22-32,60,ill,Female,Manufacturing,Onsite,Good,High,No,Weekly,South America
32-42,29,ill,Male,IT,Onsite,Poor,Medium,No,Not At All,Asia
>42,54,ill,Other,Education,Remote,Average,High,Yes,Not At All,Europe
>42,31,fit,Other,Education,Onsite,Average,High,No,Weekly,Africa
>42,54,ill,Female,Manufacturing,Remote,Good,Low,No,Not At All,Asia
32-42,33,ill,Male,Healthcare,Hybrid,Poor,High,No,Weekly,Africa
>42,25,ill,Male,IT,Hybrid,Average,Low,No,Weekly,South America
22-32,21,ill,Other,Healthcare,Onsite,Good,Low,No,Daily,Asia
>42,45,fit,Male,IT,Hybrid,Good,Medium,No,Daily,Africa
32-42,53,ill,Other,Manufacturing,Onsite,Poor,Medium,No,Not At All,Asia
32-42,46,ill,Other,Consulting,Hybrid,Poor,High,No,Daily,Africa
>42,22,ill,Other,IT,Hybrid,Good,High,No,Not At All,Africa
>42,60,ill,Male,Finance,Hybrid,Good,High,Yes,Not At All,Africa
32-42,42,ill,Female,Education,Hybrid,Average,Low,Yes,Weekly,Africa
>42,60,ill,Other,Healthcare,Onsite,Good,High,Yes,Daily,South America
22-32,35,ill,Other,IT,Onsite,Good,Medium,Yes,Daily,South America
>42,44,ill,Other,Healthcare,Hybrid,Poor,High,No,Weekly,Europe
>42,50,ill,Other,Healthcare,Remote,Poor,Medium,No,Weekly,Oceania
32-42,22,ill,Male,Finance,Remote,Good,Low,No,Daily,Asia
32-42,29,ill,Female,Education,Hybrid,Average,High,Yes,Weekly,Africa
>42,34,ill,Male,Finance,Remote,Good,Low,No,Weekly,Africa
>42,30,ill,Female,Retail,Remote,Poor,Low,Yes,Not At All,Europe
>42,53,fit,Other,Retail,Onsite,Poor,Low,Yes,Daily,Europe
>42,29,ill,Female,Healthcare,Remote,Poor,High,No,Not At All,Oceania
22-32,27,ill,Male,Education,Onsite,Good,Medium,Yes,Weekly,South America
32-42,44,ill,Other,Finance,Onsite,Good,Medium,No,Daily,North America
>42,42,ill,Female,Education,Remote,Good,High,No,Daily,Europe
32-42,22,ill,Female,Manufacturing,Hybrid,Average,Medium,Yes,Daily,Europe
32-42,34,fit,Other,Consulting,Hybrid,Average,Medium,Yes,Daily,Africa
>42,51,ill,Other,Manufacturing,Onsite,Average,High,No,Daily,South America
>42,48,ill,Other,Retail,Hybrid,Good,High,Yes,Not At All,Europe
>42,30,ill,Male,Healthcare,Onsite,Good,High,Yes,Not At All,Africa
>42,59,fit,Other,Consulting,Onsite,Average,Low,Yes,Weekly,North America
>42,26,ill,Other,Manufacturing,Remote,Average,High,Yes,Daily,South America
>42,60,ill,Other,Finance,Hybrid,Average,Low,No,Not At All,South America
32-42,38,ill,Female,Retail,Onsite,Good,Medium,Yes,Daily,North America
>42,34,fit,Female,Finance,Remote,Average,High,Yes,Not At All,Europe
22-32,46,ill,Female,Consulting,Onsite,Poor,Medium,No,Daily,Europe
22-32,35,fit,Female,Retail,Hybrid,Average,Low,Yes,Not At All,Oceania
32-42,23,fit,Female,Education,Remote,Good,Medium,No,Weekly,Africa
32-42,28,ill,Female,Manufacturing,Remote,Average,Low,Yes,Weekly,Africa
>42,57,fit,Male,Retail,Onsite,Good,Medium,No,Weekly,South America
22-32,29,fit,Other,Manufacturing,Hybrid,Good,Low,Yes,Weekly,Europe
>42,39,fit,Male,Finance,Hybrid,Poor,Medium,No,Weekly,Oceania
>42,46,ill,Other,IT,Remote,Good,Medium,No,Not At All,Oceania
>42,26,ill,Male,Healthcare,Remote,Good,High,No,Daily,South America
>42,32,fit,Other,IT,Remote,Poor,Medium,Yes,Weekly,Oceania
>42,30,fit,Other,Education,Remote,Poor,High,No,Not At All,North America
>42,48,ill,Other,Education,Hybrid,Average,Low,Yes,Weekly,Asia
32-42,44,ill,Other,Education,Onsite,Poor,High,Yes,Weekly,Africa
>42,49,ill,Female,Healthcare,Hybrid,Poor,Low,Yes,Not At All,Asia
22-32,23,fit,Female,Manufacturing,Hybrid,Poor,High,No,Weekly,Europe
>42,33,ill,Other,Finance,Onsite,Good,Low,No,Daily,North America
>42,35,ill,Other,Education,Remote,Average,High,No,Daily,Asia
>42,41,ill,Other,Consulting,Remote,Poor,Medium,Yes,Weekly,Europe
32-42,34,ill,Other,Healthcare,Hybrid,Average,Low,No,Daily,Africa
>42,44,ill,Male,Finance,Remote,Average,Low,Yes,Daily,North America
32-42,52,ill,Female,IT,Onsite,Good,High,Yes,Daily,Oceania
>42,57,ill,Male,Consulting,Onsite,Good,Low,Yes,Weekly,Oceania
32-42,32,ill,Female,Consulting,Remote,Average,High,Yes,Weekly,Oceania
>42,31,ill,Female,Consulting,Remote,Poor,Low,No,Daily,Oceania
22-32,58,ill,Male,Healthcare,Hybrid,Poor,Medium,No,Weekly,Africa
22-32,26,ill,Female,Consulting,Remote,Poor,Medium,Yes,Not At All,Asia
22-32,57,fit,Male,Consulting,Remote,Average,Low,Yes,Weekly,North America
>42,20,fit,Female,Healthcare,Onsite,Good,Low,No,Not At All,North America
32-42,26,fit,Other,Finance,Hybrid,Average,High,No,Weekly,South America
32-42,43,ill,Male,Finance,Hybrid,Good,High,No,Weekly,North America
>42,50,ill,Male,Manufacturing,Onsite,Average,Low,Yes,Daily,South America
>42,52,ill,Other,Healthcare,Onsite,Good,High,No,Weekly,Oceania
32-42,37,ill,Female,IT,Hybrid,Average,Medium,No,Not At All,Africa
32-42,38,fit,Female,Education,Hybrid,Average,High,Yes,Not At All,Africa
22-32,55,ill,Other,Consulting,Hybrid,Poor,High,No,Weekly,South America
22-32,53,fit,Other,Manufacturing,Hybrid,Average,Medium,No,Weekly,Africa
32-42,20,ill,Male,Healthcare,Onsite,Good,Medium,No,Not At All,Oceania
22-32,46,ill,Female,Manufacturing,Hybrid,Poor,Low,Yes,Daily,Africa
>42,30,ill,Other,Education,Onsite,Average,Low,Yes,Not At All,Africa
>42,50,ill,Other,Retail,Remote,Poor,High,No,Daily,Asia
32-42,50,fit,Other,Healthcare,Remote,Average,Medium,Yes,Daily,Europe
>42,50,ill,Other,Manufacturing,Hybrid,Poor,Low,Yes,Daily,Europe
32-42,23,fit,Male,Retail,Remote,Poor,Low,No,Not At All,North America
32-42,45,ill,Male,Retail,Onsite,Good,Medium,No,Not At All,Europe
32-42,25,ill,Other,Finance,Hybrid,Good,Medium,No,Weekly,South America
22-32,36,fit,Other,Manufacturing,Remote,Good,High,Yes,Weekly,North America
32-42,60,fit,Other,Education,Onsite,Good,Low,Yes,Daily,Europe
32-42,35,ill,Other,Healthcare,Remote,Average,Low,Yes,Daily,Europe
>42,55,ill,Other,Manufacturing,Hybrid,Good,Medium,No,Not At All,North America
32-42,47,fit,Female,Finance,Onsite,Good,Medium,No,Weekly,Europe
>42,57,fit,Female,Healthcare,Hybrid,Good,High,No,Not At All,South America
>42,22,fit,Other,Education,Hybrid,Good,Medium,Yes,Not At All,South America
22-32,43,ill,Other,IT,Remote,Poor,Medium,Yes,Daily,Europe
>42,45,fit,Other,Consulting,Remote,Good,Low,Yes,Weekly,South America
22-32,56,ill,Male,Healthcare,Onsite,Average,Low,Yes,Weekly,Europe
>42,46,ill,Male,IT,Onsite,Good,High,No,Daily,Africa
22-32,60,ill,Other,Manufacturing,Hybrid,Good,Medium,No,Daily,Europe
32-42,32,ill,Other,Consulting,Remote,Average,Medium,No,Not At All,Asia
>42,59,ill,Other,Manufacturing,Hybrid,Average,Medium,Yes,Weekly,Oceania
22-32,60,fit,Other,Consulting,Onsite,Good,High,No,Daily,Oceania
32-42,43,ill,Other,IT,Hybrid,Average,High,No,Weekly,Oceania
>42,33,ill,Male,Education,Remote,Poor,Low,Yes,Not At All,North America
>42,20,fit,Female,Finance,Hybrid,Average,Low,No,Daily,Europe
32-42,27,ill,Female,Retail,Hybrid,Poor,Medium,Yes,Weekly,North America
>42,43,ill,Female,Healthcare,Onsite,Average,Medium,No,Weekly,South America
>42,23,ill,Male,IT,Onsite,Average,Medium,No,Daily,South America
>42,29,ill,Male,Education,Onsite,Good,Medium,No,Not At All,Africa
32-42,47,fit,Male,Education,Remote,Poor,Medium,No,Not At All,North America
>42,46,ill,Female,Healthcare,Onsite,Good,Low,Yes,Not At All,Oceania
>42,40,fit,Other,Manufacturing,Hybrid,Average,Low,Yes,Weekly,South America
22-32,47,ill,Male,Retail,Remote,Poor,High,Yes,Daily,Oceania
32-42,53,ill,Female,Finance,Remote,Average,High,No,Daily,South America
>42,55,ill,Other,Education,Hybrid,Average,Medium,No,Daily,Oceania
>42,40,ill,Male,Retail,Remote,Good,Medium,No,Weekly,Asia
>42,28,ill,Female,IT,Hybrid,Poor,Low,No,Not At All,Asia
>42,39,ill,Male,Consulting,Hybrid,Good,Low,No,Weekly,South America
>42,41,ill,Other,IT,Onsite,Good,Medium,No,Not At All,Asia
>42,21,ill,Male,Finance,Onsite,Poor,Low,Yes,Daily,Oceania
>42,34,ill,Other,IT,Onsite,Good,Low,Yes,Daily,Africa
32-42,36,ill,Male,Retail,Remote,Good,Low,No,Weekly,Europe
32-42,32,ill,Male,Manufacturing,Remote,Average,High,Yes,Weekly,North America
>42,21,ill,Other,Consulting,Hybrid,Average,Medium,No,Not At All,Africa
>42,56,ill,Male,Manufacturing,Onsite,Poor,High,Yes,Daily,Europe
>42,58,ill,Other,Manufacturing,Onsite,Poor,Low,No,Not At All,North America
>42,35,fit,Female,Manufacturing,Onsite,Good,High,No,Not At All,Oceania
22-32,52,ill,Other,Healthcare,Hybrid,Good,Low,Yes,Weekly,Europe
>42,33,ill,Other,Consulting,Remote,Average,Low,No,Daily,South America
22-32,47,ill,Other,Manufacturing,Remote,Good,Medium,No,Not At All,Europe
22-32,56,ill,Male,Education,Onsite,Poor,Medium,No,Not At All,Oceania
32-42,33,ill,Other,Education,Onsite,Average,Low,Yes,Daily,Europe
>42,60,ill,Female,Education,Remote,Average,Low,No,Weekly,Asia
>42,32,ill,Male,Manufacturing,Hybrid,Good,Low,No,Weekly,South America
>42,48,fit,Other,Retail,Hybrid,Good,Medium,No,Not At All,Oceania
22-32,39,fit,Female,IT,Hybrid,Average,High,No,Not At All,Asia
32-42,23,ill,Male,Consulting,Onsite,Good,High,Yes,Weekly,Asia
22-32,38,ill,Other,Retail,Hybrid,Average,High,Yes,Not At All,Africa
>42,30,ill,Other,Manufacturing,Remote,Average,Low,No,Daily,North America
>42,35,fit,Male,Retail,Onsite,Good,Low,Yes,Weekly,Africa
32-42,22,fit,Female,Healthcare,Remote,Average,Medium,Yes,Weekly,South America
22-32,28,ill,Male,IT,Onsite,Poor,Medium,Yes,Weekly,Asia
22-32,57,ill,Female,Consulting,Onsite,Good,Medium,No,Weekly,Oceania
>42,48,ill,Female,Manufacturing,Hybrid,Good,Low,Yes,Weekly,Europe
>42,45,ill,Male,Retail,Onsite,Average,Medium,No,Daily,Africa
32-42,34,ill,Male,Healthcare,Onsite,Poor,Low,No,Weekly,Oceania
22-32,59,ill,Other,Manufacturing,Hybrid,Poor,Low,No,Weekly,Africa
22-32,31,fit,Other,Consulting,Remote,Average,High,Yes,Weekly,Asia
22-32,55,ill,Other,Retail,Onsite,Poor,Low,No,Daily,Africa
32-42,23,ill,Male,Finance,Remote,Average,Low,No,Not At All,Oceania
22-32,51,ill,Male,Healthcare,Hybrid,Average,Medium,No,Weekly,Europe
>42,32,ill,Female,Manufacturing,Remote,Average,Medium,Yes,Daily,Europe
>42,41,ill,Other,IT,Remote,Good,Low,Yes,Weekly,North America
>42,46,fit,Other,Manufacturing,Hybrid,Poor,Low,No,Daily,South America
32-42,58,ill,Male,Education,Onsite,Poor,High,No,Weekly,Oceania
22-32,59,ill,Other,Manufacturing,Onsite,Poor,High,Yes,Weekly,North America
32-42,40,ill,Other,Education,Remote,Good,Medium,No,Weekly,Oceania
32-42,56,ill,Other,Retail,Remote,Poor,High,No,Weekly,Europe
>42,47,ill,Other,Finance,Onsite,Poor,High,Yes,Weekly,North America
>42,38,ill,Female,IT,Hybrid,Good,Low,Yes,Not At All,South America
32-42,59,ill,Male,Healthcare,Remote,Average,Low,No,Weekly,South America
32-42,47,fit,Male,Manufacturing,Onsite,Poor,Medium,Yes,Not At All,Oceania
32-42,49,ill,Other,Manufacturing,Remote,Average,Medium,No,Not At All,Africa
22-32,20,fit,Female,Manufacturing,Hybrid,Poor,Low,Yes,Weekly,Africa
32-42,50,ill,Other,Manufacturing,Hybrid,Good,High,Yes,Weekly,South America
32-42,32,ill,Male,Education,Hybrid,Good,High,Yes,Weekly,Oceania
>42,23,ill,Other,IT,Hybrid,Average,Low,Yes,Daily,Oceania
>42,22,ill,Other,IT,Remote,Average,Medium,No,Weekly,Africa
>42,33,ill,Other,Education,Hybrid,Good,Medium,Yes,Daily,Africa
22-32,32,ill,Male,Education,Hybrid,Average,Medium,Yes,Weekly,Oceania
>42,51,ill,Other,Retail,Onsite,Average,Medium,No,Daily,Europe
>42,49,ill,Male,Healthcare,Hybrid,Poor,Medium,No,Not At All,Oceania
22-32,30,ill,Female,Education,Remote,Average,Medium,No,Daily,Oceania
>42,25,ill,Other,Education,Remote,Average,Medium,Yes,Weekly,Asia
>42,40,fit,Other,Manufacturing,Onsite,Poor,High,No,Weekly,North America
>42,32,ill,Other,Finance,Onsite,Good,Low,No,Not At All,Asia
32-42,20,ill,Male,Education,Onsite,Average,Medium,No,Not At All,Africa
>42,35,ill,Female,Retail,Hybrid,Poor,Medium,No,Daily,Asia
>42,49,ill,Other,Manufacturing,Remote,Average,Medium,No,Not At All,Europe
>42,34,ill,Other,Retail,Onsite,Good,Medium,Yes,Weekly,Europe
>42,58,ill,Male,Manufacturing,Hybrid,Average,Medium,No,Not At All,South America
>42,26,ill,Other,Consulting,Onsite,Average,Medium,No,Not At All,South America
>42,36,ill,Female,Retail,Onsite,Poor,Medium,No,Not At All,Europe
22-32,48,ill,Male,Education,Hybrid,Average,High,Yes,Daily,Africa
>42,57,ill,Other,Finance,Onsite,Good,High,Yes,Weekly,South America
32-42,32,ill,Other,Finance,Hybrid,Poor,Medium,Yes,Daily,Oceania
>42,55,ill,Female,Healthcare,Remote,Poor,Medium,Yes,Not At All,Asia
>42,28,ill,Other,Finance,Hybrid,Good,High,No,Not At All,Asia
>42,53,ill,Other,Consulting,Onsite,Poor,Low,No,Weekly,Oceania
22-32,36,ill,Other,Finance,Onsite,Good,Low,Yes,Daily,Europe
32-42,54,ill,Female,Manufacturing,Remote,Average,High,No,Not At All,Asia
>42,33,ill,Male,Healthcare,Remote,Poor,Low,No,Not At All,Asia
22-32,39,fit,Male,Finance,Onsite,Poor,Medium,Yes,Daily,Africa
32-42,33,ill,Other,Healthcare,Hybrid,Good,Medium,No,Not At All,North America
32-42,48,ill,Female,Education,Hybrid,Average,Low,Yes,Weekly,Asia
>42,60,ill,Male,Education,Remote,Average,Medium,No,Daily,Europe
>42,24,fit,Male,IT,Remote,Good,Medium,No,Not At All,Asia
22-32,28,ill,Other,Healthcare,Remote,Average,High,Yes,Not At All,Asia
22-32,20,ill,Other,Manufacturing,Hybrid,Poor,Low,No,Daily,Oceania
32-42,28,ill,Other,Finance,Onsite,Good,Medium,Yes,Weekly,Asia
32-42,48,fit,Female,Consulting,Remote,Good,Medium,No,Not At All,Africa
>42,51,fit,Other,Healthcare,Hybrid,Good,High,Yes,Not At All,Africa
22-32,39,ill,Other,IT,Hybrid,Poor,Low,No,Weekly,Africa
32-42,25,ill,Other,Retail,Remote,Poor,Medium,No,Not At All,North America
>42,53,fit,Male,IT,Hybrid,Average,High,No,Weekly,Europe
>42,44,ill,Other,IT,Hybrid,Average,High,Yes,Not At All,Asia
32-42,31,ill,Female,Education,Hybrid,Poor,Medium,Yes,Weekly,Africa
32-42,58,ill,Male,Healthcare,Onsite,Average,Low,Yes,Weekly,Asia
22-32,26,ill,Male,Healthcare,Hybrid,Average,Low,No,Weekly,Europe
32-42,20,fit,Other,Consulting,Hybrid,Good,Low,Yes,Not At All,North America
>42,28,fit,Female,IT,Hybrid,Poor,Low,No,Not At All,Europe
22-32,35,ill,Other,Healthcare,Remote,Average,Medium,No,Not At All,Asia
>42,30,fit,Female,Finance,Remote,Good,Low,No,Not At All,North America
>42,28,fit,Female,Finance,Hybrid,Poor,Low,No,Not At All,Oceania
22-32,21,ill,Other,Retail,Remote,Average,Medium,Yes,Daily,Oceania
>42,56,ill,Other,IT,Remote,Poor,Medium,Yes,Daily,Europe
>42,25,ill,Other,Retail,Hybrid,Good,High,No,Not At All,Africa
32-42,21,fit,Other,Education,Remote,Average,High,Yes,Weekly,South America
>42,50,ill,Other,Retail,Remote,Average,Medium,Yes,Daily,Africa
22-32,50,ill,Other,Finance,Onsite,Good,High,Yes,Weekly,Europe
32-42,27,ill,Other,Manufacturing,Hybrid,Average,Low,Yes,Not At All,Asia
22-32,31,ill,Male,Consulting,Onsite,Average,Medium,Yes,Weekly,North America
22-32,45,ill,Other,Finance,Hybrid,Good,Low,Yes,Daily,Africa
32-42,23,fit,Other,Education,Remote,Poor,Medium,Yes,Daily,Africa
32-42,42,fit,Other,IT,Onsite,Good,Low,Yes,Weekly,Asia
>42,37,fit,Female,Finance,Onsite,Good,Medium,No,Weekly,Oceania
22-32,40,ill,Other,IT,Onsite,Good,Low,Yes,Daily,South America
>42,23,ill,Male,Retail,Onsite,Good,High,Yes,Weekly,Africa
>42,20,ill,Male,Education,Remote,Poor,Medium,Yes,Not At All,North America
>42,51,ill,Other,Manufacturing,Remote,Poor,Medium,No,Weekly,Asia
>42,46,ill,Male,IT,Onsite,Good,Low,Yes,Daily,Asia
>42,37,ill,Male,Education,Remote,Poor,Medium,Yes,Weekly,Europe
>42,42,ill,Other,Education,Onsite,Average,Low,No,Not At All,Africa
>42,53,fit,Other,Retail,Hybrid,Good,Low,Yes,Weekly,Europe
>42,26,ill,Female,Consulting,Hybrid,Poor,Low,Yes,Daily,Africa
22-32,48,fit,Other,Education,Onsite,Good,Medium,No,Not At All,South America
32-42,58,ill,Male,Education,Onsite,Poor,Low,Yes,Not At All,Asia
>42,52,ill,Other,Consulting,Hybrid,Poor,Medium,Yes,Daily,Asia
32-42,52,ill,Female,Finance,Hybrid,Good,High,No,Not At All,Oceania
>42,49,fit,Male,Manufacturing,Onsite,Poor,Low,Yes,Daily,Oceania
>42,55,ill,Other,Consulting,Hybrid,Poor,High,No,Weekly,North America
>42,33,ill,Male,Healthcare,Remote,Average,High,Yes,Weekly,Oceania
32-42,24,ill,Other,Healthcare,Onsite,Poor,High,Yes,Daily,South America
>42,21,ill,Other,Consulting,Onsite,Average,Low,Yes,Not At All,North America
22-32,55,ill,Other,Education,Remote,Good,Low,No,Not At All,Africa
32-42,44,ill,Male,Education,Remote,Average,Medium,Yes,Daily,Europe
22-32,24,fit,Female,Manufacturing,Onsite,Good,Medium,Yes,Not At All,Asia
>42,25,ill,Male,IT,Onsite,Poor,High,No,Daily,Oceania
22-32,40,ill,Other,Education,Hybrid,Good,High,Yes,Daily,Africa
>42,59,ill,Other,IT,Hybrid,Poor,Low,Yes,Weekly,Asia
>42,22,ill,Female,IT,Onsite,Poor,High,Yes,Daily,South America
32-42,47,fit,Other,Consulting,Hybrid,Poor,Medium,No,Daily,North America
22-32,31,ill,Female,Finance,Hybrid,Good,Low,No,Not At All,Europe
>42,41,fit,Other,IT,Onsite,Poor,High,No,Weekly,South America
>42,52,ill,Female,Manufacturing,Remote,Good,High,Yes,Not At All,North America
32-42,48,ill,Female,Finance,Hybrid,Good,Low,Yes,Not At All,Asia
>42,41,ill,Male,Finance,Onsite,Poor,Medium,Yes,Not At All,North America
>42,21,ill,Female,Finance,Remote,Average,High,Yes,Not At All,South America
>42,49,ill,Male,Healthcare,Hybrid,Poor,Low,No,Daily,Africa
>42,32,ill,Female,Education,Remote,Good,High,No,Not At All,North America
22-32,40,fit,Other,Education,Remote,Average,Medium,Yes,Daily,Africa
22-32,22,ill,Female,Finance,Onsite,Average,High,Yes,Weekly,Africa
32-42,44,fit,Other,Consulting,Hybrid,Good,Low,Yes,Weekly,Asia
>42,41,fit,Other,Manufacturing,Onsite,Good,Medium,Yes,Weekly,Africa
22-32,37,ill,Other,Manufacturing,Remote,Average,High,Yes,Weekly,South America
>42,54,ill,Other,Healthcare,Onsite,Average,Medium,No,Not At All,North America
32-42,31,ill,Other,Retail,Onsite,Good,Low,No,Not At All,South America
>42,53,ill,Other,Consulting,Hybrid,Average,Medium,Yes,Weekly,Africa
